Artist,Album,Genres
Robo Pumpkin,yourhouseistheonlyplaceifeelathome,"midwest emo, emo"
Annie Bartholomew,Sisters of White Chapel,"vocal, folk, singer-songwriter, guitar, american, banjo, lute, north american"
Meshell Ndegeocello,Plantation Lullabies,"soul, rnb"
Rhiannon Giddens,Yet to Be (feat. Jason Isbell),"female vocalist, folk, country, blues, americana, american, banjo, bluegrass, singer-songwriter, soul"
Bethany Cosentino,Natural Disaster,"indie pop, indie rock, pop rock, alt-country, country rock, alternative country, female vocalist, rock, pop"
Tessa Violet,MY GOD!,"indie, pop, indie pop, female vocalists, usa, alt pop, alt-pop, gen z"
Billie Eilish,Barbie The Album,"female vocalist, pop, indie pop, electropop, indie, alternative, electronic, american, art pop"
Noga Erez,Quiet [from the Netflix Film ‘Heart of Stone’],"female vocalist, electronic, experimental, israel, israeli, electropop, indie, electronica, pop, rap"
Gabriel Coelho,No Passo da Saudades,"brazilian, indie, brazil, mpb, male vocalists, rock brasileiro, rock nacional, rock paulista, rock acustico"
Post Malone,AUSTIN,"pop rock, pop, alternative, indie pop, singer-songwriter, calm, hip-hop, rap, trap"
CHIKA,SAMSON: THE ALBUM,"female vocalist, hip-hop, rap"
Local Natives,Time Will Wait For No One,"indie, indie rock, folk"
The Clientele,I Am Not There Anymore,"indie pop, indie, dream pop"
Coldplay,Coloratura,coldplay
Ashnikko,WEEDKILLER,"pop, rock, rap, alternative pop, rap-rock, electronic, female vocalist, hip-hop, electropop"
Annika Bennett,Every Color Of The Rainbow,"female vocalist, indie pop, indie, pop, folk, indie rock, usa, piano, acoustic, american"
Albert Hammond Jr,Melodies on Hiatus,"indie rock, indie, singer-songwriter, alternative, rock, american, indie pop, alternative rock, pop, male vocalists"
Sigur Rós,ÁTTA,"ambient, chamber music, modern classical, post-rock, ambient pop, minimalism, icelandic, alternative, indie"
McKinley Dixon,Beloved! Paradise! Jazz!?,"jazz rap, hip-hop, jazz, hip hop, rap, new, hype, short, full"
Counting Crows,August And Everything After,"rock, favorite albums, alternative rock, alternative, favourite albums, indie, indie rock"
Outkast,Big Boi & Dre Present...OutKast,"hip-hop, rap, funk, hip hop, soul, dirty south, pop, alternative, outkast, american"
Elijah Wolf,Forgiving Season,"indie pop, indie rock, singer-songwriter, contemporary folk, folk rock, indie folk, alternative folk"
Kelly Clarkson,chemistry,"pop rock, pop, rock, soul, alternative rock, power pop, female vocalist, kelly clarkson, american idol"
Metric,Fantasies,"indie rock, indie, rock, favorite albums, canadian, female vocalist"
Metric,Black Sheep (Brie Larson Vocal Version),"colours, female vocalist, indie, indie rock"
49th & Main,B.O.A.T.S. (Mixtape),"electronic, house, electropop, dance, irish, dance pop"
The Naked And Famous,"Passive Me, Aggressive You","indie pop, indie, electronic, electropop, alternative, shoegaze, female vocalist, electro pop"
Sufjan Stevens,Javelin,"singer-songwriter, indie folk, folktronica, chamber folk, indie, folk, listen"
meg elsier,ifshitfuq,"electropop, pop, indie rock, usa, dream pop, indie folk"
Novo Amor,"Cannot Be, Whatsoever",indie folk
Phoebe Go,Something You Were Trying,"female vocalist, indie pop, indie rock, indie, pop, country, alternative rock, folk, pop rock, australian"
Free Range,Loft Sessions,"techno, experimental, ebm, folk, electro, house, american, acid, indie folk, folk pop"
Tove Lo,Queen Of The Clouds,"pop, electropop, indie pop, electronic, female vocalists, female vocalist, indie, world music"
Spencer Radcliffe,Enjoy The Great Outdoors,"lo-fi, bandcamp, indie, usa, american, ohio"
The Moth & The Flame,The Moth & the Flame,"indie, alternative, electronic, alternative rock, indie rock, usa, utah, provo, rock, singer-songwriter"
Cocteau Twins,Heaven or Las Vegas,"dream pop, ethereal, shoegaze, favourite albums, female vocalist, gothic"
Cat Power,Moon Pix,"singer-songwriter, indie, mellow, favorite albums, bittersweet, indie pop, indie folk"
OWEL,OWEL,"indie, post-rock, indie rock, emo, usa, orchestral, alternative, alternative rock, symphonic rock, american"
Gordon Lightfoot,Gord's Gold,"folk, gordon lightfoot, singer-songwriter, mellow, canadian, country, classic rock, rock, acoustic, soft rock"
Molly Grace,Lovesick,"indie, soul, alternative, singer-songwriter, usa, funk, cover, rnb, retro-pop"
Leonard Cohen,Songs Of Love And Hate,"folk, singer-songwriter, favourite albums, leonard cohen, acoustic, blues, classic rock, alternative"
Fleet Foxes,Crack-Up,"progressive folk, folk, chamber folk, psychedelic folk, indie, indie folk, lo-fi, american, alternative"
Mother Evergreen,Mother Evergreen,"rare sads, rare sad boy, indie, folk, singer-songwriter, acoustic, indie folk"
The Last Dinner Party,Prelude to Ecstasy,"indie rock, glam rock, pop rock, chamber pop, baroque pop, progressive pop, female vocalist"
Anika Pyle,Four Corners,"emo, indie pop, usa, indie folk, folk pop"
Vera Sola,Peacemaker,"female vocalist, folk, singer-songwriter"
Slaughter Beach,"Crying, Laughing, Waving, Smiling","emo, indie, danish"
Quarters of Change,Into The Rift,"indie, indie rock, rock, alternative, new york"
Abby Sage,Hunger,"female vocalist, indie pop, pop, indie, canada, my top songs, yandex music"
Terry Reid,Superlungs,"classic rock, british rock, folk rock, hard rock, british folk rock, rock, singer-songwriter"
Graham Hunt,Try Not To Laugh,"indie, indie pop, indie rock, power pop, garage rock, garage pop, singer-songwriter, garage, milwaukee, wisconsin"
Caroline Polachek,Pang,"art pop, alternative rnb, electronic, pop, ambient pop, electropop, female vocalist, synthpop, downtempo"
Goldie Boutilier,Cowboy Gangster Politician,"female vocalist, canadian, pop"
Green Day,Dookie,"punk rock, punk, rock, pop punk, favorite albums"
Ducks Ltd.,Invitation,"indie pop, jangle pop, indie rock"
Heroe,You,"french, male vocalists, france"
Kevin Abstract,Blanket,"alternative rock, indie, alternative, emo, lo-fi, alternative pop, hip-hop, hip hop, rap"
The Last Dinner Party,Nothing Matters,"female vocalist, indie rock, glam rock, baroque pop, alternative, indie, rock, indie pop, pop rock, chamber pop"
SPRINTS,Letter to Self,"alternative rock, noise rock, garage punk, grunge, indie rock, post-punk, post punk, gothic rock, riot grrrl"
Tyler,Flower Boy,"female vocalist, rock, japanese, austrian, indie, pop, j-urban, austrian music, electronic, alternative"
Bill Ryder-Jones,Iechyd Da,"singer-songwriter, chamber pop"
The Kinks,Kinks (Deluxe Edition),"classic rock, rock, british, british invasion"
Harry Belafonte,Jump Up Calypso,"big band, calypso, afro-cuban, oldies, swing"
Free Range,Two Dimensional / St Ides,"techno, experimental, ebm, folk, electro, house, american, acid, indie folk, folk pop"
San Fermin,Arms,"chamber pop, baroque pop, pop, indie rock, indie, indie pop, new york, brooklyn, american, baroque"
Travis,The Man Who,"britpop, rock, indie, travis, british"
Camp Cope,Running with the Hurricane,"alternative rock, emo, indie rock, female vocalists, australian"
Ought,Sun Coming Down,"crank wave, rock, noise rock, post-punk, art punk, constellation records"
The Temptations,Wish It Would Rain,"soul, motown, rnb"
SPRINTS,Modern Job,"female vocalist, post-punk, crank wave, indie rock, art punk, riot grrrl, garage punk, noise rock, irish, rock"
Middle Kids,Faith Crisis Pt 1,"indie pop, indie rock, pop rock, jangle pop, dream pop, indie folk, female vocalist, australian, indie"
Matt Pond PA,Imagining Everything,"indie, indie rock, indie pop, singer-songwriter, alternative, rock, acoustic, folk, american, pop"
Built To Spill,Ancient Melodies of the Future,"indie, indie rock, favorite albums, worth owning, rock, alternative rock, lo-fi, american"
The Pogues,Rum Sodomy & The Lash (Expanded Edition),"celtic rock, celtic punk, irish folk music, country and irish, irish, folk, punk"
Pillow Queens,State of the State,"female vocalist, indie rock, irish, queer, rock, dublin, indie, pop, punk, alternative"
JJ72,JJ72,"indie, irish, indie rock, rock, alternative, alternative rock, indie pop, britpop, british, ireland"
NewDad,Waves,"indie, shoegaze, dream pop"
The Corrs,In Blue,"pop, irish, folk, celtic, acoustic, pop rock, the corrs, alternative, folk rock"
Snow Patrol,Eyes Open,"indie, rock, alternative, alternative rock, favourite albums, indie rock"
The Cranberries,No Need To Argue (The Complete Sessions 1994-1995),"rock, alternative, irish, alternative rock, female vocalists, the cranberries"
Creeper,The Callous Heart,"female vocalist, punk rock, horror punk, funk metal, thrash metal, punk, heavy metal, pop punk, british, hardcore"
We Were Promised Jetpacks,These Four Walls,"indie rock, emo, post-rock, scottish, indie, scotland, post-punk"
Labi Siffre,"Crying, Laughing, Loving, Lying","listen, polydor, female vocalist, soul, funk"
Madi Diaz,Weird Faith,"female vocalist, indie, nashville"
The Monkees,"The Birds, The Bees, & The Monkees","pop, monkees"
Nina Simone,'Nuff Said (Expanded Edition),"female vocalist, jazz, soul, blues, vocal jazz, jazz vocal, nina simone, oldies, singer-songwriter, piano"
Billy Preston,The Kids & Me,"funk soul, soul, funk"
Phil Harris,The Jungle Book,"old school disney, disney, soundtrack"
Ducks Ltd.,Harm's Way,jangle pop
Squirrel Flower,Planet (i),
Briston Maroney,Carnival,"indie rock, singer-songwriter, american, alternative, folk, usa, indie folk, indie pop, guitar, folk rock"
Briston Maroney,Miracle,"indie rock, singer-songwriter, american, alternative, folk, usa, indie folk, indie pop, guitar, folk rock"
Declan McKenna,What Happened to the Beach?,"rock, indie pop, modern rock, anxious, modern alternative rock, indie rock, indie, electronic"
The Verve Pipe,Villains,"post-grunge, alternative, rock, alternative rock, hard rock, female vocalist, indie rock, pop"
The Weepies,Be My Thrill,"folk, singer-songwriter, acoustic, album, pop folk, female vocalist, indie, mellow"
Hawksley Workman,(Last Night We Were) The Delicious Wolves,"rock, alternative, indie rock, canadian, indie, alternative rock, singer-songwriter, progressive rock, pop rock"
Bone Thugs-N-Harmony,E. 1999 Eternal,"hip-hop, rap, g-funk, gangsta rap, horrorcore, r&b, rnb, cleveland, bone thugs-n-harmony"
The Notorious B.I.G.,Greatest Hits,"rap, east coast rap, albums, big, best of compilation"
Yamê,Bécane - A COLORS SHOW,"france, french hip hop, french, hip hop, rap, experimental hip hop, francophone, neo-soul, trap, cameroon"
Glen Hansard,All That Was East Is West Of Me Now,"singer-songwriter, irish, acoustic, folk, indie, soundtrack, alternative, ireland, glen hansard, rock"
P.E.,The Leather Lemon,"industrial, art punk, electronic, post-punk, drone, post-industrial, experimental, usa, art rock, no wave"
Ingrid Michaelson,Be OK,"indie, female vocalists, folk pop, pop, folk, singer-songwriter, american, alternative"
David Byrne,Everything That Happens Will Happen on This Tour,"alternative, new wave, singer-songwriter, rock, indie, experimental, alternative rock, pop, post-punk"
Sampha,Lahai,"alternative rnb, neo-soul, art pop, rnb, electronica, pop, electronic, uk garage, singer-songwriter"
This Is The Kit,Careful Of Your Keepers,"female vocalist, folk, singer-songwriter"
Imaginary Future,I Found You,"female vocalist, indie, guitar, finnish, alternative, folk, singer-songwriter, acoustic, male vocalists, suomalaiset"
Bombay Bicycle Club,My Big Day,"indie, indie rock, indie folk"
Teezo Touchdown,How Do You Sleep At Night?,"rock and boom, rap, pop rock, indie"
Noah Cyrus,July (feat. Leon Bridges),"female vocalist, pop, disney, dance, urban, guilty pleasure, miley cyrus, pop rock"
Kenya Grace,Strangers,"female vocalist, rnb, electronic, pop, drum and bass, dnb, british, electropop, indie, soul"
Angie McMahon,"Light, Dark, Light Again","rock, indie rock, singer-songwriter, australian, introspective, folk rock"
Equipment,Alt. Account,"power pop, pop punk, emo, indie rock, alternative rock, anthemic, indie, grunge, alternative, indie pop"
The Creepy Crawlies,Every Little Thing,"indie pop, noise pop, indie, indie rock, dream pop, garage pop, boy girl, boygirl"
Charlie Kaplan,Gas Station Bathroom,"indie pop, indie rock"
Charlie Kaplan,Country Life in America,"indie pop, indie rock"
A. Savage,Several Songs About Fire,"folk rock, indie rock, americana"
Girl Ray,Prestige,"nu disco, female vocalist, indie pop, indie"
Lewis Capaldi,Spotify Singles,"pop, acoustic, covers, spotify singles, dutohe, pop rock, alternative, singer-songwriter"
Frog,GROG,"indie rock, alt-country"
Troye Sivan,Something To Give Each Other,"gay, electropop, pop, dance-pop, house, synthpop, indie pop, male vocalists, indie"
Serengeti,Dennehy,"abstract hip hop, calm, urban, abstract, mellow, bittersweet, male vocalist, female vocalist, hip-hop, chicago"
Al Menne,Freak Accident,"indie pop, indie rock, usa"
Slow Pulp,Yard,"grunge, indie pop, indie rock, americana, shoegaze, female vocalist, lo-fi, indie"
Jacob Slade,Soft Spoken,"acoustic, indie pop, singer-songwriter, usa, diy, midwest, milwaukee, wisconsin, wi"
Jacob Slade,Jacob Slade,"acoustic, indie pop, singer-songwriter, usa, diy, midwest, milwaukee, wisconsin, wi"
The Menzingers,Some Of It Was True,"punk rock, punk, pop punk"
Beach House,Bloom,"dream pop, indie pop, indie, pop, female vocalist, lo-fi, electronic"
Adam Melchor,FRUITLAND,"folk, indie pop, singer-songwriter, american, indie folk, male vocalists, new jersey, new jersey indie, my top songs"
Helena Deland,Goodnight Summerland,indie folk
Ilsey,From The Valley,"pop, country, singer-songwriter, usa, americana, bluegrass, indie folk"
The Drums,Jonny,"alternative, indie pop, new wave, dream pop, ass, cakes, indie, indie rock, surf rock"
Dead Man's Bones,Dead Man's Bones,"indie, favorite albums, electronic, indie folk, psychedelic folk, alternative, gospel, rock"
Onyon,Last Days On Earth,"post-punk, lo-fi, punk rock, leipzig"
Bewilder,From The Eyrie,"math rock, emo, post rock, math, indie, alt, indie rock, post-rock, heavy metal, electronic"
Asake,Work Of Art,"afrobeats, nigeria, amapiano, pop, african, fuji, nigerian, afropop, afropiano, electronic"
Dr. Dog,"Shame, Shame (Deluxe Edition)","indie, indie rock, lo-fi"
Cut Worms,Cut Worms,"americana, folk, indie, alternative country"
JR JR,Retrace,"indie, alternative, electronic, pop, indie pop, indie rock, american, detroit, all"
Militarie Gun,Very High / Never Fucked Up Twice,"hardcore, post-hardcore, emo, alternative rock, indie rock, melodic hardcore, punk, hardcore punk, alternative, los angeles"
Dua Lipa,Barbie The Album,"female vocalist, pop, electropop, synthpop, british, dance-pop, dance"
Squirrel Flower,Tomorrow's Fire,"indie, indie rock, dream pop, slowcore, slacker rock"
LANNDS,Music for the Future,"female vocalist, indie, electronic"
Citizen,Calling the Dogs,"indie, rock, punk, alternative, alternative rock, emo, indie rock, punk rock"
slowthai,UGLY,"post-punk, punk, uk hip hop, synth punk, rock, alternative rock, rap, hip-hop, trap"
A Beacon School,yoyo,"dream pop, indie pop, indie rock, indietronica, indie, new york, chillout, electronic, math rock"
DEBBY FRIDAY,GOOD LUCK,"electro-industrial, alternative rnb, deconstructed club, trip-hop, industrial, post-punk, experimental pop, female vocalist, experimental, rap"
Sargasso,Further Away,"math rock, math-rock"
Nirvana,Nevermind (Remastered),"grunge, alternative rock, rock, punk rock, punk, nirvana, indie, american"
Tkay Maidza,Sweet Justice,"hip-hop, pop, alternative, rap, rnb"
Radiohead,OK Computer,"favorite albums, alternative rock, alternative, favourite albums, rock"
Michael Franti & Spearhead,Big Big Love,"reggae, hip-hop, political, funk, rap, hip hop, jam, soul, peace, rock"
Rick Ross,Too Good To Be True,"hip-hop, rap, dirty south, hip hop, southern rap, rick ross, trap, miami, gangsta rap, florida"
Mon Laferte,Autopoiética,"art pop, electronic, alternative, tango, cumbia, chile, salsa, female vocalist, pop, latin"
2 Chainz,Welcome 2 Collegrove,albums
Josh Cashman,WildFlower,"indie, australian, roots"
Jamila Woods,Water Made Us,"soul, rnb, neo-soul, alternative, rhythm and blues, jagjaguwar"
Sixpence None The Richer,Sixpence None the Richer,"pop, christian, sad, rock, alternative, alternative rock"
The Supremes,Motown Anthems,"female vocalist, soul, motown, oldies, pop, rhythm and blues, american, rnb, girl group"
Monica Martin,"Go Easy, Kid","female vocalist, indie pop, electronic, soul, funk, american, smooth, soulful, wisconsin, nap pop"
Liquid Mike,S/T,"power pop, indie rock, indie, punk, alternative, usa, american, punk rock, pop punk, america"
Video Age,Golden Sun,"electronica, new orleans, breakbeat, electronic, usa, electro, synth-pop, hypnogogic"
John Legend,DARKNESS AND LIGHT,john legend
Saintseneca,All You've Got Is Everyone,"folk, indie, indie folk, acoustic, folk rock, indie rock, indie-folk, alternative, usa, male vocalists"
Nirvana,In Utero,"grunge, rock, alternative rock, alternative, nirvana, indie"
Horsegirl,Sea Life Sandwich Boy,"female vocalist, indie rock, post-punk, noise pop, crank wave, shoegaze, noise rock, indie, art punk, rock"
For The Foxes,The Revolution,"alternative, powerpop, rock, alternative rock, pop, power pop, pop punk, all, indie, cool"
Wallows,Nothing Happens,"indie rock, rock, alternative, indie pop, new wave, surf rock, post punk revival, vinyls i own, ai"
Seryn,Messes,"folk, indie, acoustic, indie folk, denton, seryn, instrumental, alternative, ensemble, singer-songwriter"
Mereba,AZEB - EP,"rnb, soul, pop"
Nappy Roots,"Watermelon, Chicken & Gritz","favorite albums, crunk, watermelon, chicken   and  gritz, hip-hop, rap, dirty south"
COIN,Uncanny Valley,"indie, indie pop"
Cory Hanson,Pale Horse Rider,"usa, folk, psychedelic"
Lupe Fiasco,Lupe Fiasco's Food & Liquor,"hip-hop, hip hop, favourite albums, conscious hip hop, pop rap, political hip hop, underground hip-hop, chicago, lupe fiasco"
Pusha T,Neck & Wrist,pusha t
The Aces,Under My Influence,"pop, vinyl, colours, blue, album, female vocalist, indie pop, blues"
Prince of Spain,Ages,"indie, folk, folk rock, alternative, singer-songwriter, usa, spain, indie folk, singer/songwriter, all"
Horsegirl,Ballroom Dance Scene,"female vocalist, indie rock, post-punk, noise pop, crank wave, shoegaze, noise rock, indie, art punk, rock"
Your Smith,Wild Wild Woman,"female vocalist, indie pop, pop, indie, alternative, minnesota, usa, american, queer, female guitarists"
Saint Motel,Feel Good,"indie, indie rock, indie pop, american, los angeles, hard-pop, rock, pop, alternative, power pop"
Tash Sultana,Terra Firma,"finished, female vocalist, indie, alternative"
The Juliana Theory,Emotion Is Dead,"emo, riding the metro, pop, rock, alternative, alternative rock, indie rock, female vocalist, indie, punk"
Kings Go Forth,The Outsiders Are Back,"soul, rhythm and blues, funky groove"
B.A.P,CARNIVAL,"korean, k-pop, kpop, ts entertainment"
Rhiannon Giddens,They're Calling Me Home (with Francesco Turrisi),"female vocalist, folk, country"
The Avalanches,We Will Always Love You,"neo-psychedelia, plunderphonics, electronic, dream pop, nu-disco, sampledelia, turntablism, electronica, australian"
Adam Melchor,Light Year (feat. Lennon Stella),"folk, indie pop, singer-songwriter, american, indie folk, male vocalists, new jersey, new jersey indie, my top songs"
Fousheé,gold fronts (feat. Lil Wayne),"soul, rnb, pop, noise pop, pop punk, usa, american, punk rock, the voice"
Angel Olsen,Aisles,"cover, synthpop, pop, folk, new wave, female vocalist, indie folk, lo-fi"
Jon Batiste,WE ARE,"jazzsoul, jazz, soul, piano"
Olly Alexander,God Help The Girl (Original Soundtrack),"pop, british, uk, eurovision song contest, actors, eurovision, esc, zionist"
Shakey Graves,Roll The Bones X,"albums, folk, americana, lo-fi"
Dan Croll,On Top,"indie pop, indie, electronic, pop, british, indie rock, singer-songwriter, england, dream pop, male vocalists"
O.T. Genasis,I Look Good,"hip-hop, rap, trap, baking soda, meme rap, hip hop, turn up, american, pop rap, atlanta"
Angie McMahon,Salt,"female vocalist, folk, indie"
Peach Pit,From 2 to 3,"indie rock, happy, jangle pop, alt-country, warm, playful, math rock, indie pop, indie"
String Machine,Death of the Neon,"folk, indie pop, freak folk, indie folk, indie, experimental, power pop, usa, chamber pop, baroque pop"
The Japanese House,Saw You In A Dream,"female vocalist, electronic, indie pop"
The Lazy Eyes,SongBook,"psychedelic rock, psychedelic, australian"
Cheekface,Therapy Island,"indie rock, power pop, post punk, pop punk, garage rock, geek rock"
Unknown Mortal Orchestra,Multi-Love,"indie rock, psychedelic pop, vinyl, fave indie pop, lo-fi, psychedelic, indie"
JR JR,Same Dark Places,"indie, alternative, electronic, pop, indie pop, indie rock, american, detroit, all"
Belle and Sebastian,A Bit of Previous,"indie pop, twee, chamber pop, art rock, female vocalist, indie, alternative"
Melt Yourself Down,Pray For Me I Don’t Fit In,"jazz, funk, saxophone, afrobeat, fusion, psychedelic"
Maddie Medley,Coming Of Age pt. 1,"female vocalist, singer-songwriter, usa, american, nashville, united states, my top songs"
Bon Iver,"Bon Iver, Bon Iver","indie folk, folk, indie, acoustic, vinyl, american, alt-country"
chloe moriondo,Blood Bunny,"indie rock, pop punk, bedroom pop, female vocalist, indie pop, indie"
Conan Gray,Sunset Season,"indie, alternative, favorite albums, vapourwave"
Jenny Kern,Coming Back For Me,"indie pop, canadian, folk, singer-songwriter, indie folk, indie folk pop"
Big Star,#1 Record,"power pop, rock, favorite albums, usa, pop, proto-punk, indie"
The Regrettes,How Do You Love?,"vinyl, female vocalist, pop rock, punk rock"
Cordae,Just Until....,"rap, trap, hip-hop"
Blu,The Feeling,"hip-hop, rap, hip hop, chillout, underground hip-hop, california, underground, west coast, blu, jazz hop"
Ashley Monroe,Rosegold,country pop
The Mysterines,Reeling,"female vocalist, rock, garage rock"
Nikki Lane,All Or Nothin',"female vocalist, country, alt-country, americana, indie, rock, south carolina, pop, usa, american"
Moby,Reprise,"electronic, ambient, chillout, alternative, electronica, dance, pop, techno, rock, moby"
Bright Eyes,Fevers and Mirrors,"favorite albums, indie, folk, favourite albums, bright eyes, indie rock"
Orville Peck,Bronco,"country, americana, guitar, vinyl, modern country, queer artist, alt-country, gothic country, singer-songwriter"
Black Pumas,Strangers (From Life In A Day),"soul, rnb, rock, psychedelic soul, blues, usa, american, blues rock, indie, funk"
The Soft Pack,The Soft Pack,"indie, indie rock, kemado, rock, alternative, summer music, san diego, heavenly recordings"
Kanye West,My Beautiful Dark Twisted Fantasy,"hip-hop, rap, hip hop, pop rap, art pop, rnb, gay fish"
Du Blonde,Homecoming,"female vocalist, indie rock, rock"
The Last Internationale,Soul on Fire (Deluxe Edition),"female vocalist, blues rock, rock, folk, folk rock, blues, american, usa, political, brad wilk"
Shannon & The Clams,Year Of The Spider,"garage rock, doo wop, neo soul, retro pop, female vocalist, garage, lo-fi"
Justin Bieber,My World 2.0,"female vocalist, pop, black metal, justin bieber, rnb, hip-hop, r&b, brutal death metal, gay, canadian"
PawPaw Rod,HIT EM WHERE IT HURTS,"rap, soul, hip-hop, hip hop, usa, american, male vocalist, oklahoma, united states, ugly"
Biig Piig,Feels Right,"female vocalist, indie, rnb, downtempo, irish, hip hop, pop, indie pop, england, alternative rnb"
Black Pumas,OCT 33 - A COLORS SHOW,"soul, rnb, rock, psychedelic soul, blues, usa, american, blues rock, indie, funk"
Ages and Ages,Divisionary,"indie, folk, indie pop, portland, usa, euphoric, indie folk, pdx, check out, oregon"
Poolside,Only Everything,electronic
Sam Dew,MOONLIT FOOLS,"soul, experimental, rnb, hip-hop, usa, chicago"
Cassie,Cassie (U.S. Version),"female vocalist, rnb, pop"
Carly Bannister,Same Team,"female vocalist, indie, singer-songwriter"
Tierra Whack,Link,"female vocalist, hip-hop, rap, rnb, hip hop, american, philadelphia, usa, trap, pop rap"
Sara Bareilles,Once Upon Another Time,"pop, masterpiece, great vocals, availableonemusic, female vocalist, singer-songwriter, piano"
Bob Seger,Stranger In Town,"classic rock, rock, soft rock, country, folk, singer-songwriter, american"
Steve Earle,Harlem River Blues,"country, alt-country, singer-songwriter, americana, rock, folk, country rock, political, alt country, american"
The Killers,Pressure Machine,"folk rock, heartland rock, rock, pop rock, contemporary folk, indie, indie rock, alternative"
Wave Chapelle,Committed,"trap, hip-hop, rap, hiphop"
Yola,Stand For Myself,"country soul, pop soul, soul, country, vinyl, listen"
Cameo,Word Up,"funk, rnb, vinyl collection, soul, dance"
Donna Lewis,Now in a Minute,"pop, alternative, dream pop, underrated, favourite albums, female vocalist, singer-songwriter, welsh"
Laura Mvula,Pink Noise,"disco, pop, soul, synthpop, rnb, fiery, female vocalist, neo-soul, british"
Black Honey,I Like The Way You Die,"female vocalist, indie rock, rock, alternative rock, indie, indie pop, psychedelic, alternative, uk, british"
Glass Animals,Space Ghost Coast To Coast (with Bree Runway),"electronic, trip-hop, indie, british, dubstep, indie pop, indie rock, alternative, psychedelic pop, downtempo"
GROUPLOVE,This Is This,"female vocalist, indie, indie rock, indie pop, alternative, rock, american, alternative rock, pop, male vocalists"
Slick Rick,The Great Adventures Of Slick Rick (Deluxe Edition),"hip-hop, old school, rap, hip hop, east coast rap, old school rap, east coast"
GROUPLOVE,Wildflowers,"female vocalist, indie, indie rock, indie pop, alternative, rock, american, alternative rock, pop, male vocalists"
Shin Joong Hyun & The Men,Beautiful Rivers and Mountains: The Psychedelic Rock Sound of South Korea's Shin Joong Hyun 1958-1974,"rock, psychedelic, psychedelic rock, south korea, korean, korea, south korean"
Bronze Radio Return,Entertain You,"indie, blues, rock, american, indie rock, folk rock, blues rock, indie folk, connecticut"
The Morning Benders,Big Echo,"indie, indie pop, indie rock, alternative pop/rock, iwasrecommendedthis, pop, indie love, american"
Elijah Wolf,Brighter Lighting,"indie pop, indie rock, singer-songwriter, contemporary folk, folk rock, indie folk, alternative folk"
The Lounge Society,Silk For The Starving,"indie rock, new wave, post-punk, art punk, dance-punk, crank wave, math rock"
Mello Music Group,One of the Last,"hip-hop, underground hip-hop, soul, rap, underground rap, mello music group, trip-hop, hip hop, american, underground hip hop"
The Beach Boys,The Beach Boys Love Songs,"classic rock, pop, male vocalists"
Leon Bridges,Like a Ship,"soul, american, rnb, rhythm and blues, nu soul, neo-soul, gospel, r&b, texas"
Shungudzo,To be me,"zimbabwe, soul, indie pop, indie, usa, african, zimbabwean"
Willie Nelson,That's Life,"albums, country, folk, singer-songwriter"
Tom Petty,Wildflowers,"rock, heartland rock, folk rock, country rock, roots rock, american, alternative"
JAY-Z,The Dynasty: Roc La Familia,rap
Thao,Temple,"listen, female vocalist, indie pop, indie"
Miss Grit,Impostor,"female vocalist, art pop, indie rock, rock, usa, indie, alternative, alternative rock, indie pop, mute"
Shyne,Shyne,"rap, hip-hop, hip hop, shyne, get, good albums, bad boy records, new york shit"
Migos,Culture III,"rap, trap, hip-hop, repetitive, melodic, summer, hip hop, atlanta, trap rap"
SRTW,Souvenir,"house, electronic, ambient, dance, chill house, deep ambient"
Milky Chance,Mind The Moon,indie
Deb Never,Someone Else,"female vocalist, indie, lo-fi, grunge, alternative, singer-songwriter, united states, indie pop, american, lofi"
Montell Jordan,This Is How We Do It,"hip-hop, dance, r&b, west coast, cool, disco rap"
Ben Folds,Rockin' The Suburbs,"favorite albums, piano, singer-songwriter, favourite albums, alternative, piano rock, indie"
JAY-Z,The Black Album,"hip-hop, rap, jay-z, hip hop, favorite albums"
Foxing,Draw Down The Moon,"emo, indie pop, electronic, indie, indie rock, art rock, electronic rock, alternative, experimental, post rock"
Dennis Lloyd,Nevermind (Alright),"pop, indie pop, indie, reggae, israeli, singer-songwriter, electronic, not indie, not rock, not alternative"
Calloway,All the Way,"new jack swing, urban, funk, rnb, pop, american, gay, male vocalists, duos"
Motorists,Surrounded,"indie pop, indie rock, canada, jangle pop"
Arthur Russell,Calling Out Of Context,"avant-garde, disco, experimental, dance, art pop, electronic, no wave, singer-songwriter"
Madi Diaz,History Of A Feeling,"digital, own, female vocalist, indie, nashville"
Chastity,Suffer Summer,"not grunge, female vocalist, shoegaze, grunge"
Bicycle Inn,THIS TIME AND PLACE IS ALL I'LL EVER KNOW,"pop punk, midwest emo, indie, math rock, diy emo"
Cullah,½,"rock, blues, pop, singer-songwriter, united states, milwaukee, wisconsin, milwaukee indie"
Katy Kirby,Cool Dry Place (Expanded),"female vocalist, indie folk, indie pop, singer-songwriter, acoustic, indie, folk, indie rock, american, folk rock"
English Teacher,A55,"female vocalist, post-punk, indie rock, crank wave, art punk, british, art rock, rock, garage rock, indie"
Bright Eyes,"LIFTED or The Story Is in the Soil, Keep Your Ear to the Ground","indie, favorite albums, folk, emo, indie rock, favourite albums, alternative"
Charmpit,Cause a Stir,"indie pop, indie rock, twee, pop punk, diy, poppunk, indiepoppunk"
